context, response
i need assistance to get my invoices  from John,"intent: get_invoice, variable name: person name, variable value: John"
I don't know what I need to do to download my invoice #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
I want assistance downloading my invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
I don't know what to do to download thr invoice #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
can uhelp me downloading my bils from John,"intent: get_invoice, variable name: person name, variable value: John"
i do not know what to do to get my invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
getting billsfrom John,"intent: get_invoice, variable name: person name, variable value: John"
I don't know how I can download my invoice #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
need assistance to get my invoice #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
i dont know what to dl to download the invoice #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
can you help me getting invoice #37777?,"intent: get_invoice, variable name: invoice number, variable value: #37777"
i dont know what i need to do to get the invoice #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
want assistance to get the bills from John,"intent: get_invoice, variable name: person name, variable value: John"
can you help me downloading the invoice #12588?,"intent: get_invoice, variable name: invoice number, variable value: #12588"
I need to get my invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
i dont know what i need to do to get the bill #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
I have got to download the invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
I don't know what I need to do to download bill #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
I don't know what I need to do to get invoice #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
"I need to get my bill from John, how can I do it?","intent: get_invoice, variable name: person name, variable value: John"
how to get my bill #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
assistance getting my invoice #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
I need assistance to get my invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
getting invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
I do not know what to do to get my invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
"I want to get the goddamn bill from John, help me","intent: get_invoice, variable name: person name, variable value: John"
I have got to download my goddamn invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
download ibll #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
I don't know how to get the invoice #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
I don't know how I can download the bills from John,"intent: get_invoice, variable name: person name, variable value: John"
getting bills from John,"intent: get_invoice, variable name: person name, variable value: John"
send me the bill #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
getting bill from John,"intent: get_invoice, variable name: person name, variable value: John"
I don't know how I could download my invoice #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
I don't know what I need to do to get the bill #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
I don't know how I can downloadd invoice #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
what do I have to do to get my invoice from John?,"intent: get_invoice, variable name: person name, variable value: John"
get bills from John,"intent: get_invoice, variable name: person name, variable value: John"
i dont know what i have to do to get the invoice #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
get invoice from 7 purchases ago,"intent: get_invoice, variable name: unspecified, variable value: unspecified"
get invoice,"intent: get_invoice, variable name: unspecified, variable value: unspecified"
mail me my invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
mail me bill #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
I do not know how to get the bill from John,"intent: get_invoice, variable name: person name, variable value: John"
i cannot find bill #85632 can usendit to me,"intent: get_invoice, variable name: invoice number, variable value: #85632"
i try to get the inovice #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
send me bill #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
I don't know how I can download the invoice #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
I do not know how to download the bill #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
i dont know how i can get the invoicess from John,"intent: get_invoice, variable name: person name, variable value: John"
send me my bill from John,"intent: get_invoice, variable name: person name, variable value: John"
need to get my bill #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
want assistance downloading the bill #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
I do not know what to do to download the bill #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
download bills from John,"intent: get_invoice, variable name: person name, variable value: John"
i do not know what i need to do to get my invoice #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
i dont know how to gt the invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
where do I download my invoice from John?,"intent: get_invoice, variable name: person name, variable value: John"
I want assistance to download the invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
I do not know what I need to do to get my invoice #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
get invoices from December,"intent: get_invoice, variable name: unspecified, variable value: unspecified"
assistance to get my bills from John,"intent: get_invoice, variable name: person name, variable value: John"
i do not know what i have to do to download invoice #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
I need help downloading my invoice #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
how can I download the invoices from John?,"intent: get_invoice, variable name: person name, variable value: John"
can uhelp me downloading my invoice #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
ened assistance downloading the bill from John,"intent: get_invoice, variable name: person name, variable value: John"
hhow to get the invoices from John?,"intent: get_invoice, variable name: person name, variable value: John"
"I have lost bill #37777, could you send it to me?","intent: get_invoice, variable name: invoice number, variable value: #37777"
can I get my bill from John?,"intent: get_invoice, variable name: person name, variable value: John"
what do I need to do to download the invoice #12588?,"intent: get_invoice, variable name: invoice number, variable value: #12588"
send me bills from John,"intent: get_invoice, variable name: person name, variable value: John"
want help to get the invokces from John,"intent: get_invoice, variable name: person name, variable value: John"
"I lost the damn bill from John, send it to me","intent: get_invoice, variable name: person name, variable value: John"
assistance downloading my invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
I do not know what to do to get my bills from John,"intent: get_invoice, variable name: person name, variable value: John"
"I need to download the invoice #00108, how can I do it?","intent: get_invoice, variable name: invoice number, variable value: #00108"
I don't know how I can download my invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
I want assistance to get the bill from John,"intent: get_invoice, variable name: person name, variable value: John"
i have to download the invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
i do not know what i have to do to  get invoice #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
send me bull from John,"intent: get_invoice, variable name: person name, variable value: John"
what do I need to do to download my bills from John?,"intent: get_invoice, variable name: person name, variable value: John"
get bill fromMr. Smith,"intent: get_invoice, variable name: unspecified, variable value: unspecified"
i want help downloading the bill #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
I do not know what to do to get the invoice #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
help to get my bills from John,"intent: get_invoice, variable name: person name, variable value: John"
get bill #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
help geting my bills from John,"intent: get_invoice, variable name: person name, variable value: John"
i do not know whati need to do to download bill #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
get ibll #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
I don't know how  I can get bill #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
I don't know what I have to do to download my invoice #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
"I lost the bills from John, mail them to me","intent: get_invoice, variable name: person name, variable value: John"
i need assistance getting my invoice #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
"I have got to download the bill #12588, how do I do it?","intent: get_invoice, variable name: invoice number, variable value: #12588"
can you help me getting my invoice from John?,"intent: get_invoice, variable name: person name, variable value: John"
how do I get the bills from John?,"intent: get_invoice, variable name: person name, variable value: John"
getting invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
where do I download the invoices from John?,"intent: get_invoice, variable name: person name, variable value: John"
I don't know wat I have to do to download my bill #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
ido not know what i need to do to get the invoice #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
i have got to get my bill from John hpw can i do it,"intent: get_invoice, variable name: person name, variable value: John"
I call to get the bills from John,"intent: get_invoice, variable name: person name, variable value: John"
"I have got to download the invoice #37777, how can I do it?","intent: get_invoice, variable name: invoice number, variable value: #37777"
i have got to download my bill #12588 how do i do it,"intent: get_invoice, variable name: invoice number, variable value: #12588"
downloading bills from John,"intent: get_invoice, variable name: person name, variable value: John"
i dont know  what i have to do to download the bill #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
need to download the bills from John,"intent: get_invoice, variable name: person name, variable value: John"
I do not know what to do to download my invoice #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
I don't know what I need to do to get the bill #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
I need assistance downloading invoice #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
i dont know what i need to do to get the bill #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
i dont know  what i have to do to download the bill #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
I have got to download my invoice from  John,"intent: get_invoice, variable name: person name, variable value: John"
"I need to download my invoice #12588, can you help me?","intent: get_invoice, variable name: invoice number, variable value: #12588"
I don't know what to do to get the bills from John,"intent: get_invoice, variable name: person name, variable value: John"
could i get the damn invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
I want assistance downloading the invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
get invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
help me downloading my invoice #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
I do not know what I need to do to download invoice #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
what do i have to do to download my invoice #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
I do not know how to get my invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
can you help me downloading invoice #12588?,"intent: get_invoice, variable name: invoice number, variable value: #12588"
I don't know what I need to do to download the bill #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
need help downloading my invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
i have got to download the bill from John help me,"intent: get_invoice, variable name: person name, variable value: John"
I want assistance to download the bills from John,"intent: get_invoice, variable name: person name, variable value: John"
is it possible to get my invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
how can I get the bills from John?,"intent: get_invoice, variable name: person name, variable value: John"
i haveto get the invoice from John how can i do it,"intent: get_invoice, variable name: person name, variable value: John"
i want assistance getting the bill #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
where do I get the bill from John?,"intent: get_invoice, variable name: person name, variable value: John"
I have to download the invoice #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
is it possible to download my bills from John?,"intent: get_invoice, variable name: person name, variable value: John"
I don't know how to download my bill #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
how do I download my bills from John?,"intent: get_invoice, variable name: person name, variable value: John"
I want assistance to get my invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
i need assistance to egt the invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
i want assistance to downlolad my bill #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
where to download my bills from John?,"intent: get_invoice, variable name: person name, variable value: John"
i do not know how to download the bills from John,"intent: get_invoice, variable name: person name, variable value: John"
need to download bill #12588 how do i do it,"intent: get_invoice, variable name: invoice number, variable value: #12588"
mail me the bills from John,"intent: get_invoice, variable name: person name, variable value: John"
help me download the invoice #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
I do not know what I have to do to download the bill #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
i want help getting my bills from John,"intent: get_invoice, variable name: person name, variable value: John"
where do I get invoice #00108?,"intent: get_invoice, variable name: invoice number, variable value: #00108"
i dont know how i can get the invoice #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
could ya help me get my goddamn invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
I want to download the nivoice from John,"intent: get_invoice, variable name: person name, variable value: John"
"I have got to download the bill from John, help me","intent: get_invoice, variable name: person name, variable value: John"
wanna get my bill from John,"intent: get_invoice, variable name: person name, variable value: John"
i need assistance to get the invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
getting invoice,"intent: get_invoice, variable name: unspecified, variable value: unspecified"
getting invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
I am trying to download my bills from John,"intent: get_invoice, variable name: person name, variable value: John"
I don't know what to do to download the bill #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
mail me my damn bill from John,"intent: get_invoice, variable name: person name, variable value: John"
i lost the fucking bill from John mail it to me,"intent: get_invoice, variable name: person name, variable value: John"
what do i need to do to get my invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
can uhelp me to get my bill from John,"intent: get_invoice, variable name: person name, variable value: John"
getbills from John,"intent: get_invoice, variable name: person name, variable value: John"
need assistance to get my invoice #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
want assistance to get my invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
i dont know what i need to do to download my bill #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
what do i need to do to get my bill from John,"intent: get_invoice, variable name: person name, variable value: John"
I'm trying to get my damn bills from John,"intent: get_invoice, variable name: person name, variable value: John"
i try to get my invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
need to download my invoice #37777 will ya help me,"intent: get_invoice, variable name: invoice number, variable value: #37777"
I do not know how to download the bills from John,"intent: get_invoice, variable name: person name, variable value: John"
help to get bill #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
is it possible to download invoice #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
I don't know what I have to do to download bill #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
want help to get my invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
what do i need to do to get the bill #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
is it possible to download invoice #12588?,"intent: get_invoice, variable name: invoice number, variable value: #12588"
i need help gettng bill #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
I need assistance to download the invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
i dont know what i have to do to download bill #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
i have to get the damn invoice from John i need help,"intent: get_invoice, variable name: person name, variable value: John"
I do not know how I could download the invoice #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
I don'tknow what to do to download my invoice #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
I need help downloading my damn bill from John,"intent: get_invoice, variable name: person name, variable value: John"
get invoice from last month,"intent: get_invoice, variable name: unspecified, variable value: unspecified"
"I have lost the bill #37777, will you send it to me?","intent: get_invoice, variable name: invoice number, variable value: #37777"
i have to download my bills from 7 last weeks i need help,"intent: get_invoice, variable name: unspecified, variable value: unspecified"
i do not know how i can download my invoice #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
need assistance to get the bill from John,"intent: get_invoice, variable name: person name, variable value: John"
i have to download the invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
I don't know how I can get the invoice #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
need help to download my invoice #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
I do not know what I have to do to download invoice #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
i dont know what i need to do to download the invoice #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
I don't know what to do to download the invoice #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
get bill #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
get invoice #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
i call to download my bills from John,"intent: get_invoice, variable name: person name, variable value: John"
i do not know how i can download my invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
i dont know what i have to do to get the invoice #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
I am calling to get my bill #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
get bill #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
hiw can i get invoice #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
I don't know how to get the bill #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
I don't know what I need to do to downloa the invoice #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
i dont know what i haveto do to get the invoice #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
I don't know how I can download bill #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
get bills from John,"intent: get_invoice, variable name: person name, variable value: John"
i do not know what to do to get my invoice #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
I want help to download the invoice #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
I do not know what I have to do to download bill #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
I want  assistance downloading the invoice #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
I do not know how I can download the invoice #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
i do not know what i have to do to get my bill #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
can I get my bill from John?,"intent: get_invoice, variable name: person name, variable value: John"
"I lost my bill #37777, will you mail it to me?","intent: get_invoice, variable name: invoice number, variable value: #37777"
get bill from John,"intent: get_invoice, variable name: person name, variable value: John"
how to get my invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
i have got to download the bill #85632 how do i do it,"intent: get_invoice, variable name: invoice number, variable value: #85632"
i dont know what i have to do to download my invoice #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
i need help to download my blls from John,"intent: get_invoice, variable name: person name, variable value: John"
wanna get my bill JY97WACK can uhelp me,"intent: get_invoice, variable name: invoice number, variable value: JY97WACK"
i dont know what i have to do to download my bill #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
get invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
I don't know how to download my invoice #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
what do I have to do to get the bill from John?,"intent: get_invoice, variable name: person name, variable value: John"
i dont know what i nede to do to get the bill #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
where can I get the invoices from John?,"intent: get_invoice, variable name: person name, variable value: John"
I don't know how to download the invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
I do not know what to do to get the invoice #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
I have to download my bill from John,"intent: get_invoice, variable name: person name, variable value: John"
I don't know what I need to do to download my invoice #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
I don't know what I have to do to download bill #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
i dont know what to do to download invoice #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
I want assistance to download the damn bill from John,"intent: get_invoice, variable name: person name, variable value: John"
i do not know how to download the damn bills from John,"intent: get_invoice, variable name: person name, variable value: John"
getting invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
i do not know what i need to do to download my bill #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
i do not know how to get myinvoice #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
i want assistance getting my invoice #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
how to get bill #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
I do not know what I have to do to download the bill #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
what do I need to do to get my invoice #12588?,"intent: get_invoice, variable name: invoice number, variable value: #12588"
I do not know how I could download my invoice #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
send me my bill from John,"intent: get_invoice, variable name: person name, variable value: John"
I'd like to get the bill from John how to od it,"intent: get_invoice, variable name: person name, variable value: John"
I don't know how to download my invoice #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
want heop downloading the bill from John,"intent: get_invoice, variable name: person name, variable value: John"
I want to download my invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
i need help to get my invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
how to get the invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
I'm tryng to get the bill #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
get invoice from November,"intent: get_invoice, variable name: unspecified, variable value: unspecified"
mail me the bill #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
II need help downloading the invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
where do I get my damn bills from John?,"intent: get_invoice, variable name: person name, variable value: John"
I want to get invoice #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
getting invoice from last purchase,"intent: get_invoice, variable name: unspecified, variable value: unspecified"
I am trying to download the bills from John,"intent: get_invoice, variable name: person name, variable value: John"
how do I download the goddamn invoice from John?,"intent: get_invoice, variable name: person name, variable value: John"
"I want to get my invoices from John, how can I do it?","intent: get_invoice, variable name: person name, variable value: John"
is it possible to download the damn invoice from John?,"intent: get_invoice, variable name: person name, variable value: John"
how to get invoice #00108?,"intent: get_invoice, variable name: invoice number, variable value: #00108"
where can i download the invoice #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
I am calling to get invoice #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
need assistance downloading my invoice 8HHED5E1,"intent: get_invoice, variable name: invoice number, variable value: 8HHED5E1"
how can I get my invoices from John?,"intent: get_invoice, variable name: person name, variable value: John"
i dont know what to do to download the bill #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
I do not know how I could get the bill from John,"intent: get_invoice, variable name: person name, variable value: John"
I do not know what I need to do to get bill #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
i try to get the invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
getting bills from John,"intent: get_invoice, variable name: person name, variable value: John"
"I lost the bill from John, mail it to me","intent: get_invoice, variable name: person name, variable value: John"
i want help downloading  my invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
get invoices from last purchase,"intent: get_invoice, variable name: unspecified, variable value: unspecified"
getting bill from John,"intent: get_invoice, variable name: person name, variable value: John"
i need assistance downloading the bill from John,"intent: get_invoice, variable name: person name, variable value: John"
i have to get my damn invoice from John i need help,"intent: get_invoice, variable name: person name, variable value: John"
i do not know what i have to do to get my bill #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
I do not know  what to do to get the bill #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
get ibll #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
get invoices from last month,"intent: get_invoice, variable name: unspecified, variable value: unspecified"
i dont know how i can download my invoice #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
download bill from John,"intent: get_invoice, variable name: person name, variable value: John"
wanna download invoice #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
I am trying to download my invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
help me to downolad invoice #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
i dont know what i need to do to download invoice #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
what do I need to do to get my bill #37777?,"intent: get_invoice, variable name: invoice number, variable value: #37777"
I do not know how to get my bill #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
can ya help me download the bill #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
getbills from John,"intent: get_invoice, variable name: person name, variable value: John"
I'm tryingto download my invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
I do not know how to download the bill #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
getting invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
downloading invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
what do I need to do to download my invoice #37777?,"intent: get_invoice, variable name: invoice number, variable value: #37777"
getbills from John,"intent: get_invoice, variable name: person name, variable value: John"
i have got to download the bill from John,"intent: get_invoice, variable name: person name, variable value: John"
I don't know how to get the bill #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
i do not know what to do to get the invoice #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
i need help to get the bill #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
I don't know what I have to do to download my invoice #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
I call to download my bill from John,"intent: get_invoice, variable name: person name, variable value: John"
i have got to get bill #37777 how to do it,"intent: get_invoice, variable name: invoice number, variable value: #37777"
can I download my invoice from John?,"intent: get_invoice, variable name: person name, variable value: John"
I do not know how I can download the invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
I need help getting my bill from John,"intent: get_invoice, variable name: person name, variable value: John"
what do I have to do to get the bill #85632?,"intent: get_invoice, variable name: invoice number, variable value: #85632"
i call to get my bill #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
download bill #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
I do not know what I need to do to get bill #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
mail me my invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
I want help to get my bill from John,"intent: get_invoice, variable name: person name, variable value: John"
I am calling to download the bill #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
i dont know what i need  to do to download my bill #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
mail me bill #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
"I have got to download the invoice #85632, how can I do it?","intent: get_invoice, variable name: invoice number, variable value: #85632"
how do i get my invoice #85632,"intent: get_invoice, variable name: invoice number, variable value: #85632"
how to get my bills from John,"intent: get_invoice, variable name: person name, variable value: John"
getting invoices from John,"intent: get_invoice, variable name: person name, variable value: John"
I do not know how I could get bill #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
download bill from John,"intent: get_invoice, variable name: person name, variable value: John"
"I cannot find bill #12588, mail it to me","intent: get_invoice, variable name: invoice number, variable value: #12588"
what do I need to do to get the bills from John?,"intent: get_invoice, variable name: person name, variable value: John"
I don't know what I need to do to get my invoice #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
mail me the bill from John,"intent: get_invoice, variable name: person name, variable value: John"
where to download invoice #00108?,"intent: get_invoice, variable name: invoice number, variable value: #00108"
can I get my invoice from John?,"intent: get_invoice, variable name: person name, variable value: John"
I do not know what I have to do to get my bill #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
is it possible to get my invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
get bill from John,"intent: get_invoice, variable name: person name, variable value: John"
I don't know what I have to do to download invoice #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
i do not know how i can download the invoice #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
I need assistance to dfownload my invoice #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
mail em the bill #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
help downloading my goddamn bills from John,"intent: get_invoice, variable name: person name, variable value: John"
I don't know what to do to downlod bill #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
I don't know what I need to do to get the invoice #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
what do I have to do to download my invoice #37777?,"intent: get_invoice, variable name: invoice number, variable value: #37777"
I need assistance to download the invoice #37777,"intent: get_invoice, variable name: invoice number, variable value: #37777"
help me download the bill from John,"intent: get_invoice, variable name: person name, variable value: John"
I need assistance downloading the invoice from John,"intent: get_invoice, variable name: person name, variable value: John"
mail me my bill from John,"intent: get_invoice, variable name: person name, variable value: John"
i need help to download my bill from John,"intent: get_invoice, variable name: person name, variable value: John"
i have to get my nivoice #85632 could ya help me,"intent: get_invoice, variable name: invoice number, variable value: #85632"
i dont know what to do to get the invoice #00108,"intent: get_invoice, variable name: invoice number, variable value: #00108"
I ned assistance to get my invoice #12588,"intent: get_invoice, variable name: invoice number, variable value: #12588"
"I have got to download bill #00108, how do I do it?","intent: get_invoice, variable name: invoice number, variable value: #00108"
